일별가격,월별가격,공유오피스명,주소 ,좌석타입,재고,최소 수용가능인원,최대 수용가능인원
"22,000","385,000",마이워크스페이스 3호점 -지정석,서울특별시 서초구 서초동 1328-3,고정석 ,8,1,8
,"385,000",소호114 영등포 비즈니스센터2인,서울특별시 영등포구 양산로 53,고정석/자유석,2,1,2
,"275,000",워크앤리브 지정석,서울특별시 서초구 청계산로 211,고정석 ,2,1,1
,"440,000",Webiz 역삼점 2인실(1인석),서울특별시 강남구 테헤란로20길 10,고정석 ,2,1,1
,"198,000",이에스(ES) 교대 코워킹스페이스,서울특별시 서초구 서초대로55길 17,고정석 ,2,1,1
,"750,000",구로소호사무실 5-6인실,서울특별시 구로구 디지털로31길 41,고정석 ,5,3,3
,"330,000",더 니치 오피스,서울특별시 종로구 돈화문로 41,고정석 ,15,1,2
,"275,000",A.zit.a 애짓다 ,서울특별시 강남구 개포4동 1207-10,고정석 ,10,1,10
,"250,000",구로디지털 웍앤코 핫데스크,서울특별시 구로구 디지털로34길 55,자유석 ,18,1,1
,"275,000",카페24신당) 동대문 공용사무실,서울특별시 중구 퇴계로 450,고정석 ,6,1,6
"10,000","200,000",Prife,서울특별시 영등포구 선유로53길 34-9,자유석 ,20,1,20
,"800,000",카페24창업센터 홍대점 3인단독룸,서울특별시 마포구 상수동 141-1,고정석/자유석,3,1,3
,"880,000",영어스터디센터,서울특별시 서대문구 이화여대길 7,고정석 ,2,1,2
,"250,000",Ksquares Office,서울특별시 강남구 역삼동 799-10,고정석 ,1,1,1
,"88,000",153 스터디룸 주말권,서울특별시 성동구 아차산로 92,자유석 ,45,1,20
,"250,000",맥비즈,서울특별시 강서구 마곡중앙로 161-17,고정석/자유석,7,1,1
,"165,000",카이트스퀘어 오픈스페이스,서울특별시 중구 저동2가 48-2,자유석 ,35,1,35
,"187,000","153 스터디룸, 워크스테이션",서울특별시 성동구 아차산로 92,자유석 ,20,1,4
,"220,000",이노스페이스,서울특별시 강남구 테헤란로44길 8,고정석/자유석,30,1,30
"16,500","220,000",동대문 스타트업 오피스 쉐어,서울특별시 중구 을지로 284,고정석/자유석,4,1,4
,"200,000",목동 현대41타워,서울특별시 양천구 목동동로 293,고정석 ,1,1,1
"11,000","199,000",금천구 코워킹 스페이스 (지정석),서울특별시 금천구 시흥대로 291,고정석 ,4,1,4
,"165,000",신도림 비즈온센터 코워킹,서울특별시 영등포구 경인로 706,고정석/자유석,12,1,8
"11,000","110,000",코쿤피스 신논현역센터-코워킹,서울특별시 서초구 사평대로 335,고정석/자유석,20,1,20
,"275,000",홍대공유사무실(프리스타일),서울특별시 마포구 월드컵북로1길  26-8 ,고정석 ,8,1,8
"10,000","200,000",플렉스홈 소호오피스 서울,서울특별시 마포구 희우정로10길 28,고정석/자유석,1,1,1
"16,500","275,000",모아 코워킹스페이스(홍대),서울특별시 서대문구 연희로2길 76,고정석/자유석,70,1,70
,"140,000",함께하는 행복한 공간 Sky Z,서울특별시 광진구 능동로36길 109,고정석/자유석,2,1,2
"10,000","110,000",한승공간 역삼코워킹스페이스 1인실,서울특별시 강남구 역삼동 736-32,고정석/자유석,10,1,10
,"385,000",CnG공유오피스-비즈니스 센터 ,서울특별시 강서구 양천로 344,고정석/자유석,10,1,10
"10,000","150,000",슈가맨워크 가산디지털점 자유석,서울특별시 금천구 서부샛길 606,자유석 ,1,1,10
,"385,000",넥스트데이 서초 공유오피스 고정석,서울특별시 서초구 반포대로28길 94,고정석 ,1,1,1
,"308,000",로프 압구정 [지정석 1인],서울특별시 강남구 압구정로30길 72,고정석 ,10,1,5
,"200,000",5호선 오목교역 현대41타워,서울특별시 양천구 목동 917-9,고정석 ,5,1,2
,"275,000",력셔리 프라이빗룸 1인석,서울특별시 서초구 사평대로 368,고정석 ,3,1,4
"33,000","825,000",펜타725 청담,서울특별시 강남구 영동대로 725,고정석/자유석,107,1,8
,"250,000",슈가맨워크 역삼역점 지정석,서울특별시 강남구 역삼동 733-11,고정석 ,5,1,5
,"275,000",이미지팩토리 ,서울특별시 강남구 학동로 323,고정석 ,6,1,6
,"220,000",TTP 10G45 - T1멤버십,서울특별시 마포구 양화로10길 45,자유석 ,40,1,1
,"200,000",카페24창업센터보라매점 공용실,서울특별시 영등포구 여의대방로 171,고정석 ,4,3,4
,"385,000",종로 1stHQ 고정석(락커포함),서울특별시 종로구 동순라길 78-18,고정석 ,7,1,1
,"330,000",무신사 스튜디오 오픈 데스크,서울특별시 중구 을지로6가 17-2,자유석 ,50,1,50
,"400,000",카페24창업센터 보라매점 2인실,서울특별시 영등포구 여의대방로 171,고정석 ,4,2,2
,"180,000",아트라우드 스튜디오,서울특별시 마포구 독막로9길 9,고정석/자유석,100,1,1
,"150,000",슈가맨워크 역삼역점 자유석,서울특별시 강남구 역삼동 733-11,고정석/자유석,14,1,10
,"300,000",구로디지털 웍앤코 오픈데스크,서울특별시 구로구 디지털로34길 55,고정석 ,60,1,1
"22,000","110,000","영등포 스마트워킹, 영등포 자유석",서울특별시 영등포구 경인로 775,자유석 ,10,1,10
,"400,000",슈가맨워크 가산디지털점 1인실창측,서울특별시 금천구 서부샛길 606,고정석 ,3,1,1
"10,000","120,000",렛츠 스터디센터 오픈형 독서실,서울특별시 광진구 능동로13길 39,자유석 ,20,1,20
,"280,000",구로디지털단지 1인 소호사무실,서울특별시 구로구 디지털로31길 41,고정석 ,5,5,5
,"275,000",Webiz 명동점 2인실(1인석),서울특별시 중구 퇴계로 213,고정석 ,2,1,1
,"220,000",리얼쿠,서울특별시 강북구 도봉로 193,고정석/자유석,25,1,25
,"300,000",성수동 인생공간 코워킹스페이스,서울특별시 성동구 광나루로2길 20,고정석 ,5,1,5
"20,000","300,000",홍대 에이브릿지 코워킹 스페이스,서울특별시 마포구 서교동 364-10,고정석/자유석,10,1,10
,"275,000",[동대문] 창신아지트,서울특별시 종로구 창신동 687-43,고정석 ,2,1,2
,"143,000",가산백상공동사무실,서울특별시 금천구 가산동 459-22,고정석 ,20,1,2
"11,000","275,000",공유 스튜디오 쇼피스 나다움 ,서울특별시 강남구 강남대로156길 46,고정석/자유석,20,1,20
,"385,000",[GARAGE신논현]지정데스크,서울특별시 서초구 강남대로 479,고정석 ,1,1,1
,"450,000",온비즈 - 2인실 공유 1인석,서울특별시 강남구 대치동 942-15,고정석 ,8,1,2
"20,000","250,000",메리제인,서울특별시 성동구 성수일로4가길 10-51,고정석 ,2,1,2
"22,000","330,000",가온비즈니스센터,서울특별시 영등포구 양평로 24,고정석 ,6,1,6
,"495,000",코너스톤스페이스 지정석,서울특별시 강남구 강남대로 624,고정석 ,5,1,2
,"550,000",슈가맨워크 가산디지털점 2인실내측,서울특별시 금천구 서부샛길 606,고정석 ,12,1,2
"22,000","275,000",코워커스-광화문공유오피스,서울특별시 종로구 새문안로 82,자유석 ,100,1,20
,"330,000",구로 넥스트데이 공유오피스 고정석,서울특별시 구로구 디지털로31길 12,고정석 ,10,1,1
,"220,000",온비즈 오피스 - 코워킹스페이스,서울특별시 강남구 대치동 942-15,자유석 ,20,1,20
,"660,000",카페24창업센터 홍대점 2인단독룸,서울특별시 마포구 상수동 141-1,고정석/자유석,3,1,3
,"165,000",더스카이밸리 1차 가산역 도보1분,서울특별시 금천구 가산디지털1로 142,고정석 ,5,1,5
"30,000","200,000",코리너스,서울특별시 강남구 논현동 175-22,자유석 ,10,1,10
,"330,000",비즈니스센터 함께 (고정석),서울특별시 강남구 테헤란로 419,고정석 ,5,1,1
,"275,000",오퍼스플라츠(Opus Platz),서울특별시 마포구 삼개로 35,고정석/자유석,29,1,8
,"275,000",카페24 창신점(1좌석),서울특별시 종로구 창신동 23-76,고정석 ,1,1,1
,"104,500",슈퍼에그 Hot Desk 멤버십,서울특별시 종로구 삼봉로 57,자유석 ,22,1,12
,"165,000",카이트스퀘어 지정석,서울특별시 중구 저동2가 48-2,고정석 ,6,1,6
